feature_16,feature_23,feature_21,feature_3,feature_8,feature_28,feature_27,feature_13,feature_14,feature_1,feature_4,feature_18,target
0.04888,69.47,10.6,64.12,0.07038,0.1075,0.2913,1.787,17.67,9.676,272.5,0.0145,0
0.02198,85.13,13.16,79.47,0.02166,0.08088,0.3535,0.9857,12.58,12.22,453.1,0.009894,0
0.02348,76.08,11.69,71.25,0.04268,0.09514,0.1256,1.318,12.3,11.06,366.5,0.01285,0
0.01203,109.8,17.32,104.7,0.04563,0.1357,0.1947,1.146,20.67,16.3,819.8,0.01431,0
0.0494,117.7,17.11,103.8,0.0852,0.2163,0.5911,2.937,32.52,15.46,731.3,0.02041,1
0.03916,81.25,12.45,76.31,0.02639,0.1056,0.269,1.345,13.04,11.74,426.0,0.01528,0
0.01197,101.7,15.61,94.66,0.02541,0.07955,0.1101,1.677,20.72,14.81,680.7,0.01056,0
0.02265,113.3,16.41,88.64,0.08172,0.2051,0.5106,3.093,33.67,13.4,556.7,0.01334,1
0.01812,108.5,16.76,94.29,0.04349,0.09186,0.2492,2.561,37.11,14.58,658.8,0.008648,0
0.0163,113.8,17.58,97.26,0.04335,0.112,0.2866,2.63,38.49,15.05,701.9,0.009423,1
0.01641,79.15,12.47,72.76,0.02594,0.08542,0.1624,1.491,18.19,11.34,391.2,0.01107,0
0.01877,142.2,21.86,120.8,0.09451,0.151,0.3759,3.218,67.36,18.31,1052.0,0.01046,1
0.02303,160.5,23.73,130.5,0.09431,0.1613,0.4185,3.654,59.7,19.89,1214.0,0.01178,1
0.02329,99.31,15.05,84.45,0.05303,0.1096,0.1246,3.176,34.37,12.88,493.1,0.01244,0
0.01561,93.63,14.45,82.51,0.02995,0.08045,0.1423,2.495,28.62,12.75,493.8,0.009199,0
0.0254,67.84,10.57,59.96,0.02421,0.07262,0.09996,2.388,19.63,9.295,257.8,0.0158,0
0.03212,205.7,29.92,165.5,0.1471,0.2475,0.4658,7.05,139.9,24.63,1841.0,0.01597,1
0.0059,76.38,11.93,71.3,0.005664,0.02832,0.02533,0.9812,9.332,11.26,388.1,0.004065,0
0.02251,99.43,15.11,88.73,0.03783,0.1284,0.1935,2.284,26.45,13.71,571.0,0.01352,0
0.02042,74.32,11.24,63.0,0.02416,0.06528,0.08434,1.976,15.24,9.847,293.2,0.006801,0
0.01762,63.3,9.473,54.53,0.0151,0.08512,0.1754,1.069,7.254,8.571,221.3,0.00732,0
0.01443,101.9,15.35,87.44,0.03152,0.1427,0.2654,1.443,16.07,13.46,551.1,0.007369,0
0.009169,87.22,13.61,78.94,0.02647,0.107,0.1791,0.7714,8.955,12.34,468.5,0.00574,0
0.03247,94.52,14.62,90.31,0.06615,0.1015,0.1559,4.091,44.74,13.94,594.2,0.02853,0
0.01153,86.92,13.45,77.83,0.02798,0.07393,0.1622,1.714,18.54,12.07,445.2,0.007986,0
0.01815,88.52,13.5,75.89,0.0444,0.101,0.1366,3.149,30.66,11.75,422.9,0.01316,0
0.01727,87.0,13.35,75.21,0.02157,0.0812,0.2758,1.393,15.34,11.67,416.2,0.005298,0
0.007228,101.6,15.85,87.76,0.0188,0.08704,0.1206,1.373,17.25,13.68,575.5,0.005077,0
0.03089,152.0,23.23,134.7,0.1015,0.1613,0.3092,5.168,100.4,20.47,1299.0,0.01699,1
0.03378,76.43,11.62,70.79,0.02788,0.09861,0.2123,1.165,10.09,10.96,365.6,0.01346,0
0.02616,160.2,24.3,137.8,0.1322,0.2148,0.4433,4.706,87.78,20.55,1308.0,0.01421,1
0.02583,104.3,15.29,93.77,0.06139,0.1362,0.4234,1.895,18.54,14.27,629.8,0.01276,1
0.03495,86.12,12.98,76.37,0.04531,0.1308,0.1395,2.158,20.95,11.69,406.4,0.01766,0
0.009692,57.17,9.077,47.98,0.0,0.0,0.0,2.492,19.14,7.729,178.8,0.0,0
0.06457,54.49,8.678,48.34,0.01364,0.05,0.3393,1.445,11.73,7.691,170.4,0.01364,0
0.04112,78.78,12.26,74.65,0.02594,0.06918,0.1797,1.628,20.86,11.54,402.9,0.01494,0
0.04653,113.5,16.22,95.81,0.0389,0.1205,0.404,2.615,23.11,14.47,656.4,0.01162,0
0.01172,107.4,16.51,94.7,0.03027,0.1095,0.1611,2.177,27.41,14.74,668.6,0.01269,0
0.01372,92.48,14.37,84.88,0.03275,0.07958,0.1062,1.539,17.85,13.21,538.4,0.009117,0
0.02172,99.17,15.05,89.77,0.02369,0.06845,0.1377,2.076,23.12,13.87,584.8,0.009061,0
0.02099,97.58,15.35,87.19,0.02443,0.07174,0.1049,2.066,31.24,13.62,573.2,0.009064,0
0.007247,71.12,11.25,65.31,0.005495,0.02381,0.04384,1.356,12.97,10.32,324.9,0.005495,0
0.03084,71.08,10.83,65.85,0.02438,0.08333,0.1783,0.9887,7.326,10.26,320.8,0.01097,0
0.01123,69.1,10.93,61.05,0.009615,0.03846,0.0935,2.054,18.24,9.683,285.7,0.009615,0
0.0187,83.9,13.03,68.89,0.00816,0.03264,0.06194,3.564,33.0,10.82,361.6,0.005917,0
0.01104,74.08,11.66,68.51,0.0,0.0,0.0,2.115,20.67,10.86,360.5,0.0,0
0.03051,77.8,12.02,71.49,0.02257,0.06413,0.1564,1.994,17.85,11.13,378.4,0.01024,0
0.01233,88.1,13.87,81.35,0.01499,0.06498,0.08653,1.477,18.76,12.77,507.9,0.009305,0
0.01834,62.86,9.845,59.01,0.01282,0.02564,0.07993,2.121,17.86,9.333,264.0,0.01282,0
0.02153,88.84,13.89,82.5,0.02343,0.06493,0.2439,1.502,16.83,12.88,514.3,0.00762,0
0.02736,69.57,10.84,65.67,0.02738,0.09127,0.2,1.437,14.46,10.29,321.4,0.01721,0
0.02222,67.88,10.65,64.73,0.01116,0.02232,0.01005,1.648,16.8,10.16,311.7,0.007082,0
0.01124,66.5,10.49,59.26,0.0,0.0,0.0,3.618,29.11,9.423,271.3,0.0,0
0.04639,105.9,15.48,96.39,0.03736,0.1105,0.3662,2.224,19.54,14.59,657.1,0.01606,0
0.02982,82.28,12.48,74.52,0.04105,0.09653,0.363,1.936,16.97,11.51,403.5,0.01267,0
0.02678,100.2,15.3,91.38,0.04304,0.1048,0.1326,2.888,29.84,14.05,600.4,0.01626,0
0.008878,75.19,11.92,70.67,0.0,0.0,0.0,2.041,22.81,11.2,386.0,0.0,0
0.04844,128.7,17.52,103.4,0.09429,0.2356,1.17,2.362,22.65,15.22,716.9,0.01608,1
0.0431,179.1,24.29,143.0,0.1474,0.2542,0.6599,8.758,118.8,20.92,1347.0,0.02624,1
0.02891,166.1,25.45,142.0,0.1389,0.2216,0.4107,7.673,158.7,21.56,1479.0,0.02454,1
0.02423,155.0,23.69,131.2,0.09791,0.1628,0.3215,5.203,99.04,20.13,1261.0,0.01678,1
0.03731,126.7,18.98,108.3,0.05302,0.1418,0.3403,3.425,48.55,16.6,858.1,0.01557,1
0.06158,184.6,25.74,140.1,0.152,0.265,0.9387,5.772,86.22,20.6,1265.0,0.01664,1
0.00466,59.16,9.456,47.92,0.0,0.0,0.0,2.548,19.15,7.76,181.0,0.0,0
